text,created_at,favorite_count,view_count,retweet_count,reply_count
"me: I'll just check twitter for five minutes. also me, 3 hours later, an expert on shrimp behavior",2026-04-01 01:10:00,3,75,0,0
"nobody: 
my brain at 3am: remember that embarrassing thing from 2013",2026-04-02 13:44:00,2041,79897,508,188
"sent an email and immediately started sweating, this is who I am now",2026-04-03 22:31:00,1131,44532,187,102
the gym is closed so I guess I'm built like this forever,2026-04-04 23:20:00,1262,26682,210,107
put 'attention to detail' on my resume then reread it and found 2 typos,2026-04-05 16:10:00,1513,56021,96,43
accidentally liked a photo from 4 years deep on someone's page. we don't speak of this,2026-04-06 07:25:00,1097,24570,250,57
my toxic trait is thinking I'll remember it without writing it down,2026-04-07 19:02:00,396,12542,61,56
the wifi buffered for 2 seconds and I aged 10 years,2026-04-08 06:42:00,427,14656,41,30
just did math in my head and immediately regretted every decision that led to this,2026-04-09 21:41:00,689,24140,44,54
"opened the fridge, stared at it, closed it, opened it again. still nothing changed",2026-04-10 18:06:00,1343,28827,124,73
typing 'lol' while feeling nothing is a core personality trait at this point,2026-04-11 11:56:00,1254,32227,172,113
my search history could be used as evidence in several unrelated court cases,2026-04-12 09:39:00,1036,41105,219,91
"set 3 alarms and still woke up 20 minutes late somehow, physics is fake",2026-04-13 21:52:00,3,66,0,0
"just reheated coffee for the third time today, this is fine, everything is fine",2026-04-14 03:47:00,386,11990,40,38
told myself I'd go to bed early. it is now 1am and I am watching a stranger renovate a kitchen,2026-04-15 22:21:00,1092,27605,161,150
replied to a text 6 hours later like it was a normal amount of time,2026-04-16 01:05:00,1658,54192,357,42
my group chat has 400 unread messages and I refuse to open it out of respect,2026-04-17 10:49:00,1981,46021,274,221
"walked into a room and forgot why immediately, brain.exe has stopped working",2026-04-18 17:00:00,2067,45964,494,227
just said 'you too' when the waiter told me to enjoy my meal. no notes,2026-04-19 04:34:00,1406,43657,191,35
practiced an argument in the shower that I will never have with anyone,2026-04-20 11:57:00,978,37811,239,24
the audacity of my alarm clock going off like I asked for that,2026-04-21 11:13:00,484,13103,78,64
me pretending to understand the meeting while frantically googling the acronym,2026-04-22 19:47:00,46,1062,10,6
"just clapped when the plane landed, some traditions must be preserved",2026-04-23 05:56:00,531,20438,109,39
my plants are thriving and I have never been prouder of anything in my life,2026-04-24 21:55:00,1045,36262,104,42
accidentally made eye contact with myself in a mirror and felt genuinely caught off guard,2026-04-25 22:06:00,726,21354,65,101
spent 45 minutes picking a netflix show then closed the laptop and went to sleep,2026-04-26 11:19:00,962,35027,215,47
"just apologized to a chair I walked into, manners matter",2026-04-27 21:12:00,463,9902,94,30
"the group project curse never ends, it just changes form as you get older",2026-04-28 16:25:00,1136,38158,248,71
my read receipts are the closest thing I have to a personal brand,2026-04-29 00:07:00,1181,37333,291,29
"screenshotted the joke instead of just sending the link, efficiency is dead",2026-04-30 19:27:00,526,14156,109,40
just realized I've been mispronouncing a word my whole life and I'm never speaking again,2026-05-01 16:07:00,264,6624,50,5
the confidence of a raccoon going through my trash could really teach me something,2026-05-02 17:43:00,1365,46940,270,146
sent 'k' and immediately felt the temperature in the room drop 10 degrees,2026-05-03 11:27:00,1645,43763,185,214
my houseplants have a better skincare routine than I do,2026-05-04 23:57:00,1224,31831,136,89
just microwaved something for exactly one second too long and ruined my whole week,2026-05-05 12:44:00,762,21647,181,82
the vibes today are 'forgot my own phone number when asked',2026-05-06 05:39:00,1147,35995,150,147
"opened 14 tabs to look up one thing, closed all of them, still don't know the thing",2026-05-07 09:18:00,1108,35603,126,85
just full body flinched because my phone buzzed in a quiet room,2026-05-08 21:13:00,1861,56245,388,269
waved back at someone who was waving at the person behind me. we don't recover from this,2026-05-09 23:10:00,586,19500,101,18
"my New Year's resolution has officially expired, RIP to a real one",2026-05-10 07:43:00,441,11557,93,17
